City,Latitude,Longitude,Date,Temperature,Humidity,Cloudiness,Windspeed
imeni poliny osipenko,52.42,136.49,1541281338,14.54,72,0,4.79
luchenza,-16.01,35.31,1541281339,72.1,63,20,6.8
algiers,29.94,-90.04,1541279700,75.92,50,40,11.41
conde,-11.81,-37.61,1541281186,79.12,81,44,10.76
bignona,12.8,-16.23,1541278800,80.6,83,0,2.24
hornepayne,49.22,-84.78,1541281340,35.47,63,0,3.49
jasper,33.83,-87.28,1541278560,69.8,37,0,3.6
hansot,21.59,72.81,1541281341,83.26,81,0,2.21
charters towers,-20.07,146.27,1541281341,69.85,91,24,4.34
bang saphan,11.21,99.51,1541281341,77.41,92,8,3.22
danilovka,50.35,44.12,1541281342,31.69,71,68,8.75
gravdal,59.79,5.78,1541278200,50,93,75,24.16
okha,53.59,142.95,1541281342,29.62,85,80,19.33
port hardy,50.7,-127.42,1541278800,50,93,90,20.8
tsiroanomandidy,-18.77,46.05,1541281343,60.58,56,0,3.56
buin,-33.73,-70.74,1541278800,75.2,29,0,11.41
west bay,50.71,-2.76,1541278200,55.4,76,92,14.99
cortez,37.35,-108.58,1541278380,55.94,21,1,17.22
ondjiva,-17.07,15.73,1541281344,76.06,27,36,7.02
todos santos,23.45,-110.23,1541277780,84.2,42,5,16.11
toftir,,,,,,,
dolbeau,,,,,,,
vestmannaeyjar,63.44,-20.27,1541281345,37.27,96,56,25.75
hualmay,-11.1,-77.61,1541281345,74.26,55,20,5.61
bandarban,22.2,92.22,1541281346,66.02,94,0,2.21
haines junction,60.75,-137.51,1541281346,4.24,93,88,2.82
kletskaya,49.31,43.06,1541281346,34.48,90,32,9.6
magadan,59.56,150.8,1541280600,19.4,100,75,6.71
peleduy,59.63,112.75,1541281347,16.3,60,76,9.04
kokopo,-4.34,152.27,1541281348,80.42,100,48,4.23
asyut,27.18,31.19,1541278800,68,52,0,9.17
catuday,16.29,119.81,1541281349,78.22,100,0,2.77
port blair,11.67,92.75,1541281078,83.53,100,0,12.06
iralaya,15,-83.23,1541278800,75.2,100,75,4.7
dzaoudzi,-12.79,45.27,1541278800,78.8,83,0,11.41
zaragoza,41.65,-0.88,1541278800,48.2,76,0,3.36
karanja,20.48,77.49,1541281357,76.06,61,80,5.35
umm jarr,,,,,,,
port shepstone,-30.74,30.45,1541281359,69.22,83,0,24.85
jensen beach,27.25,-80.23,1541279700,78.08,65,40,10.29
miro khan,27.76,68.09,1541281359,64.18,40,8,6.62
lazaro cardenas,28.39,-105.62,1541277720,78.8,22,75,5.82
meulaboh,4.14,96.13,1541281363,75.61,100,88,6.58
pushkinskiye gory,57.02,28.91,1541281364,42.31,91,88,9.86
rio tercero,-32.17,-64.11,1541281364,78.49,50,36,10.27
basay,9.41,122.64,1541281364,81.28,100,8,7.74
yar-sale,66.83,70.83,1541281368,6.13,100,20,3.22
rocha,-34.48,-54.34,1541281368,65.26,87,32,3.71
dawlatabad,36.41,64.91,1541281369,21.11,69,0,0.2
nioro,13.79,-15.05,1541281369,83.08,48,8,5.91
nuevo imperial,-13.08,-76.32,1541281370,68.27,75,20,4.38
palabuhanratu,,,,,,,
bhadravati,20.11,79.12,1541281370,70.48,79,12,2.04
khazar,41.99,48.34,1541281370,57.43,100,0,16.2
kortkeros,61.81,51.56,1541280600,35.6,100,90,4.47
mahibadhoo,3.78,72.97,1541281371,83.08,100,64,4.05
mehamn,71.03,27.85,1541281372,35.83,94,92,5.73
la trinidad,12.97,-86.24,1541278800,71.6,83,90,11.41
sorland,67.67,12.69,1541281373,46.22,100,92,33.64
chara,39.42,22.43,1541278200,57.2,87,20,4.7
coihaique,-45.58,-72.07,1541278800,55.4,62,90,10.29
yuncheng,35.03,111,1541281374,42.85,90,76,2.48
assela,,,,,,,
mildura,-34.18,142.16,1541281375,60.85,54,76,4.56
andevoranto,,,,,,,
nagato,34.35,131.14,1541278800,57.2,76,75,6.93
ciudad bolivar,8.12,-63.55,1541281379,80.56,90,80,8.3
ruatoria,,,,,,,
saint-francois,46.42,3.91,1541278800,42.8,93,90,2.89
jalu,29.03,21.55,1541281380,61.84,60,0,7.52
gamba,28.28,88.52,1541281381,-2.25,66,0,3.38
gat,14.69,-16.54,1541278800,82.4,48,0,4.7
dunedin,-45.87,170.5,1541281344,52.07,63,32,16.42
magugu,-4.02,35.77,1541281397,69.62,70,80,6.24
nizhneudinsk,54.91,99.03,1541281397,28.9,55,68,7.14
honningsvag,70.98,25.97,1541281397,40.78,100,92,16.2
medea,36.27,2.77,1541278800,60.8,77,40,3.36
veraval,49.65,0.71,1541278800,46.4,80,0,5.82
manaure,11.78,-72.45,1541278800,86,74,20,17.22
karla,59.37,24.93,1541280000,39.2,100,20,6.93
smolenka,54.15,22.76,1541281400,38.98,99,0,3.38
fare,-16.7,-151.02,1541281401,76.87,100,20,4.38
samana,0.12,-76.97,1541278800,89.6,59,40,6.93
saint anthony,43.97,-111.68,1541278560,48.02,47,90,10.29
karamay,,,,,,,
nordhausen,51.51,10.79,1541280000,44.6,87,90,2.24
mzimba,-11.9,33.6,1541281403,68.09,70,0,6.8
abu dhabi,24.47,54.37,1541278800,77,44,0,5.82
mosquera,4.71,-74.23,1541278800,53.6,93,75,6.93
ust-kamchatsk,,,,,,,
goksun,38.02,36.5,1541278200,60.8,51,75,3.36
lakselv,70.05,24.96,1541278200,37.4,93,80,20.8
hanstholm,57.12,8.61,1541281408,50.41,88,88,19.55
sioux lookout,50.1,-91.92,1541278800,30.2,63,75,3.36
asau,,,,,,,
ahuimanu,21.44,-157.84,1541278620,82.94,69,40,12.75
wake forest,35.98,-78.51,1541280600,60.98,47,1,5.73
alice springs,-23.7,133.88,1541278800,78.8,54,64,4
roebourne,-20.77,117.15,1541281411,75.92,35,0,10.38
manggar,-2.88,108.27,1541281414,74.53,100,32,3.04
dodola,10.12,-3.28,1541281414,73.36,87,44,3.22
antalaha,-14.9,50.28,1541281415,74.57,95,92,4.34
belmonte,40.36,-7.35,1541281416,43.84,90,0,3.83
mae hong son,19.3,97.96,1541281419,61.57,91,0,1.77
kambove,-10.88,26.6,1541281422,63.41,94,68,2.55
labytnangi,66.66,66.39,1541281423,11.89,82,64,2.26
banda aceh,5.56,95.32,1541281423,75.34,100,56,3.11
semnan,35.58,53.39,1541281424,34.39,74,8,3.83
amberley,-43.15,172.73,1541278800,59,75,36,17.22
mindyak,54.02,58.79,1541280600,33.8,80,90,13.42
ambon,47.55,-2.56,1541278800,39.2,93,0,5.82
campbell river,50.02,-125.24,1541279580,51.8,93,90,12.75
coffeyville,37.04,-95.62,1541279700,66.92,54,90,18.34
husavik,50.56,-96.99,1541281429,33.44,100,24,4.27
kikuyu,-1.25,36.66,1541278800,62.6,93,20,6.93
te anau,-45.41,167.72,1541281431,41.32,98,92,13.96
verkhoyansk,67.55,133.39,1541281431,-21.73,61,24,2.55
danielskuil,-28.19,23.54,1541281432,66.88,30,44,11.16
malindi,-3.22,40.12,1541281432,78.67,90,92,9.42
yarkovo,54.81,82.6,1541280600,19.4,79,90,4.47
altamira,-3.2,-52.21,1541281433,83.98,78,36,3
khani,41.96,42.96,1541280600,59,47,0,23.04
acapulco,16.86,-99.88,1541278200,86,74,75,8.05
kachiry,53.07,76.1,1541281435,24.71,88,80,3.11
opuwo,-18.06,13.84,1541281435,74.53,28,0,8.25
burnie,-41.05,145.91,1541281436,55.22,100,88,21.39
southbridge,42.08,-72.03,1541278560,53.96,49,40,20.8
taoudenni,22.68,-3.98,1541281437,64.67,30,0,10.42
kazalinsk,,,,,,,
gambela,8.25,34.59,1541281437,64.72,85,8,3.71
pochutla,15.74,-96.47,1541278260,87.8,70,20,11.41
deputatskiy,69.3,139.9,1541281438,-16.24,67,56,2.59
paidha,2.42,30.99,1541281438,67.46,92,56,2.48
sonoita,31.68,-110.66,1541278680,77,19,1,18.34
